ID	Type	Name	URL
CAL	Region	California	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_CAL.xlsx
CAR	Region	Carolinas	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_CAR.xlsx
CENT	Region	Central	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_CENT.xlsx
FLA	Region	Florida	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_FLA.xlsx
MIDA	Region	Mid-Atlantic	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_MIDA.xlsx
MIDW	Region	Midwest	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_MIDW.xlsx
NE	Region	New England	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_NE.xlsx
NY	Region	New York	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_NY.xlsx
NW	Region	Northwest	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_NW.xlsx
SE	Region	Southeast	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_SE.xlsx
SW	Region	Southwest	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_SW.xlsx
TEN	Region	Tennessee	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_TEN.xlsx
TEX	Region	Texas	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_TEX.xlsx
US48	Region	United States Lower 48	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/Region_US48.xlsx
YAD	BA	Alcoa Power Generating, Inc. - Yadkin Division	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/YAD.xlsx
AZPS	BA	Arizona Public Service Company	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/AZPS.xlsx
DEAA	BA	Arlington Valley, LLC	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/DEAA.xlsx
AECI	BA	Associated Electric Cooperative, Inc.	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/AECI.xlsx
AVRN	BA	Avangrid Renewables, LLC	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/AVRN.xlsx
AVA	BA	Avista Corporation	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/AVA.xlsx
BANC	BA	Balancing Authority of Northern California	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/BANC.xlsx
BPAT	BA	Bonneville Power Administration	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/BPAT.xlsx
CISO	BA	California Independent System Operator	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/CISO.xlsx
HST	BA	City of Homestead	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/HST.xlsx
TPWR	BA	City of Tacoma, Department of Public Utilities, Light Division	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/TPWR.xlsx
TAL	BA	City of Tallahassee	https://www.eia.gov/electricity/gridmonitor/knownissues/xls/TAL.xlsx
